Brand,Type,Gender,Size,Number_Sold,Price(USD),review_title,review_text,review_rating
Nike,Basketball,Men,US 10,"2,242",170,Love em,Love these. Was looking for converses and these were half the price and so uniqueâ€” Iâ€™ve never seen clear shoes like these; they fit great. The plastic takes a little getting used to but the style is so worth it.,5
Adidas,Running,Men,US 9.5,240,180,The plastic ripped,"The shoes are very cute, but after the 2nd day of wearing them the tongue started ripping. After the 3rd day of wearing them the plastic on the side ripped. They could have ripped bc I was wearing them to work and I do a lot of walking at work. If youâ€™re going to buy these I donâ€™t recommend wearing them on days where you will do a lot of walking or they might rip",2
Reebok,Casual,Men,US 11,"16,662",75,Good quality,Good quality,5
Converse,Casual,Women,US 8,135,55,Good,Great,5
Puma,Lifestyle,Women,US 7.5,240,80,PERFETTE!!,"Ho scelto il modello bianco con rifinitura dietro nera e posso dire che da vicino le scarpe sono ancora piÃ¹ belle, il mio numero Ã¨ 38, 38.5 ed ho ordinato il numero 38 e mi va bene..Spedizione veloce, il pacco Ã¨ arrivato anche prima del previsto, prezzo ottimo dato che in giro costano almeno 10, 15 euro in piÃ¹.",5
Vans,Skate,Men,US 8.5,455,65,delusione,"Sono solita comprare scarpe Guess e non ho mai avuto problemi con la taglia, in questo caso, invece, mi sono arrivate delle scarpe che, nonostante fossero il solito numero che prendo, sono molto piccole, sembra quasi due numeri meno, quindi immettibili",1
New Balance,Running,Women,US 6.5,"72,611",175,Molto belle,"Le scarpe sono molto belle, calzano perfettamente",5
Asics,Running,Men,US 10.5,84,160,Molto carine e comode,"Semplicemente perfette. Io uso plantari su misura per piede piatto, e dentro queste scarpe ci stanno perfettamente. La scarpa Ã¨ comoda e da una buona stabilitÃ  al piede. Le consiglio",5
Fila,Fashion,Women,US 9,"1,795",65,Bellissime....peccato per il numero,"Le scarpe sono bellissime, arrivate in perfetto stato con una spedizione impeccabile, purtroppo il 41 mi andava stretto e non fanno il 42 le ho dovute restituire, il venditore disponibile e gentile",5
Skechers,Running,Men,US 9,309,110,"Scarpe ben realizzate, venditore ottimo",Le scarpe sono ben fatte e il venditore molto preciso perchÃ¨ ho dovuto fare un reso e mi ha rimborsato perfettamente. Bravo. Resta nei preferiti.,5
Nike,Running,Women,US 7,"2,144",150,Sehr bequemer Schuh,Der Schuh ðŸ‘ŸgefÃ¤llt mir sehr gut. Der ist super bequem und leicht. Binsehr zu frieden. Danke,5
Adidas,Casual,Men,US 9,12,80,Perfetto,"Scarpa perfetta e davvero molto bella la mia ragazza ha apprezzato, venditore molto disponibile !!",5
Reebok,Casual,Women,US 8.5,421,70,Grandi,"Stupende,forse un po' troppo grandi,ma sicuramente ho sbagliato io",5
Converse,Skate,Men,US 10,7,75,Stupende,"Molto bello proprio come nelle foto , comode e puoi abbinarci qualsiasi cosaSuper sodisfatta grazie",4
Puma,Lifestyle,Men,US 9.5,245,110,Perfect right outta the box,"True to size. If between I'd probably go with your lower end i.e 8-8.5 go 8. I wore these right out of the box for a little over 2 hours, most of which was walking around and they were incredibly comfortable no rubbing and I did not find any issue with the tongue being too stiff as I have seen mentioned in other reviews.",5
