Product_id,Brand,Type,Gender,Size,Number_Sold,Price(USD),User_id,review_title,review_text,review_rating,url,clean_review_title,clean_review_text,combined_review
pdct_79691,Nike,Basketball,Men,US 10,"2,242",170.0,user_793,Love em,Love these. Was looking for converses and these were half the price and so uniqueâ€” Iâ€™ve never seen clear shoes like these; they fit great. The plastic takes a little getting used to but the style is so worth it.,5,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b5bea92b-2109-4c0f-86ad-7167cebd4477/NIKE+PRECISION+VII.png",,love these was looking for converses and these were half the price and so unique ive never seen clear shoes like these they fit great the plastic takes a little getting used to but the style is so worth it, love these was looking for converses and these were half the price and so unique ive never seen clear shoes like these they fit great the plastic takes a little getting used to but the style is so worth it
pdct_53183,Adidas,Running,Men,US 9.5,240,180.0,user_110,The plastic ripped,"The shoes are very cute, but after the 2nd day of wearing them the tongue started ripping. After the 3rd day of wearing them the plastic on the side ripped. They could have ripped bc I was wearing them to work and I do a lot of walking at work. If youâ€™re going to buy these I donâ€™t recommend wearing them on days where you will do a lot of walking or they might rip",2,https://m.media-amazon.com/images/I/81RV6pBH0qL._SX625_.jpg,the plastic ripped,the shoes are very cute but after the nd day of wearing them the tongue started ripping after the rd day of wearing them the plastic on the side ripped they could have ripped bc i was wearing them to work and i do a lot of walking at work if youre going to buy these i dont recommend wearing them on days where you will do a lot of walking or they might rip,the plastic ripped the shoes are very cute but after the nd day of wearing them the tongue started ripping after the rd day of wearing them the plastic on the side ripped they could have ripped bc i was wearing them to work and i do a lot of walking at work if youre going to buy these i dont recommend wearing them on days where you will do a lot of walking or they might rip
pdct_48632,Reebok,Casual,Men,US 11,"16,662",75.0,user_371,Good quality,Good quality,5,https://m.media-amazon.com/images/I/51jV3wqLqjL._AC_SY625_.jpg,good quality,good quality,good quality good quality
pdct_64501,Converse,Casual,Women,US 8,135,55.0,user_169,Good,Great,5,https://m.media-amazon.com/images/I/81aeZowGDrL._AC_SX625_.jpg,,great, great
pdct_37352,Puma,Lifestyle,Men,US 9.5,245,110.0,user_860,Perfect right outta the box,"True to size. If between I'd probably go with your lower end i.e 8-8.5 go 8. I wore these right out of the box for a little over 2 hours, most of which was walking around and they were incredibly comfortable no rubbing and I did not find any issue with the tongue being too stiff as I have seen mentioned in other reviews.",5,https://m.media-amazon.com/images/I/61baYgulRjL._AC_SY625_.jpg,perfect right outta the box,true to size if between id probably go with your lower end ie go i wore these right out of the box for a little over hours most of which was walking around and they were incredibly comfortable no rubbing and i did not find any issue with the tongue being too stiff as i have seen mentioned in other reviews,perfect right outta the box true to size if between id probably go with your lower end ie go i wore these right out of the box for a little over hours most of which was walking around and they were incredibly comfortable no rubbing and i did not find any issue with the tongue being too stiff as i have seen mentioned in other reviews
pdct_65912,Vans,Skate,Women,US 6,60,50.0,user_835,Disappointed,This is the second pair I bought. Loved the first pair however not pleased with the 2nd pair. There is no padding in the tongue part of the shoe and it is causing irritation to my skin where it rubs. I am very disappointed and will not buy them again.,2,https://m.media-amazon.com/images/I/61Rc2aevSnL._AC_SX625_.jpg,,this is the second pair i bought loved the first pair however not pleased with the nd pair there is no padding in the tongue part of the shoe and it is causing irritation to my skin where it rubs i am very disappointed and will not buy them again, this is the second pair i bought loved the first pair however not pleased with the nd pair there is no padding in the tongue part of the shoe and it is causing irritation to my skin where it rubs i am very disappointed and will not buy them again
pdct_49219,New Balance,Running,Men,US 11.5,173,150.0,user_47,Wow!,"I love these shoes so much, it's my second pair, pure comfort!  Thank you Amazon!",5,https://m.media-amazon.com/images/I/61dqRwki4BL._AC_SY625_.jpg,,i love these shoes so much its my second pair pure comfort thank you amazon, i love these shoes so much its my second pair pure comfort thank you amazon
pdct_43441,Asics,Running,Women,US 8,112,150.0,user_837,Comfortable and attractive,"I have hard to fit feet and often a wide fitting shoe looks too big and bulky.  These shoes were comfortable right away with no pressure points.  I use them for run around shoes, going to the store, etc.  They look casual but are more attractive than a running shoe.  They have a nice rounded toe box and go with any kind of outfit.  I am very happy with them.",5,https://example.com/default.png,comfortable and attractive,i have hard to fit feet and often a wide fitting shoe looks too big and bulky these shoes were comfortable right away with no pressure points i use them for run around shoes going to the store etc they look casual but are more attractive than a running shoe they have a nice rounded toe box and go with any kind of outfit i am very happy with them,comfortable and attractive i have hard to fit feet and often a wide fitting shoe looks too big and bulky these shoes were comfortable right away with no pressure points i use them for run around shoes going to the store etc they look casual but are more attractive than a running shoe they have a nice rounded toe box and go with any kind of outfit i am very happy with them
pdct_81414,Skechers,Walking,Women,US 7.5,"6,159",70.0,user_326,My right foot fits size 11 fine but not the same for the left foot,"I really need 11 1/2 but these shoes do not come in half sizes.  My right foot fits size 11 fine but not the same for the left foot.  The only issue is the blue insole - my feet perspire and the blue colour runs into my socks.  Also, the round laces look nice but they do not remain tied; they need a knot in the bow to maintain the tie.  They are very attractive shoes and do not look huge in size 12. Thank you. CHL.",5,https://example.com/default.png,my right foot fits size fine but not the same for the left foot,i really need but these shoes do not come in half sizes my right foot fits size fine but not the same for the left foot the only issue is the blue insole my feet perspire and the blue colour runs into my socks also the round laces look nice but they do not remain tied they need a knot in the bow to maintain the tie they are very attractive shoes and do not look huge in size thank you chl,my right foot fits size fine but not the same for the left foot i really need but these shoes do not come in half sizes my right foot fits size fine but not the same for the left foot the only issue is the blue insole my feet perspire and the blue colour runs into my socks also the round laces look nice but they do not remain tied they need a knot in the bow to maintain the tie they are very attractive shoes and do not look huge in size thank you chl
pdct_81924,Adidas,Running,Women,US 8.5,"4,583",140.0,user_652,Great quality and comfort shoes,Great quality and comfort shoesI was so thrilled when I got my new shoes last week! I had bought a pair of a RAVON shoes over two years ago at an expensive shoe store and I did not regret spending the money because they were perfect walking shoes and they gave me plenty of support and I have a bunion on my left big toe and I had plenty of room for that foot. Tmy new ones just like my old pair as far as being comfortable and they keepI got me balanced. By the way my original pair that are 2 1/2 years old are still good but I am using them to mow grass in because I feel safe walking in them. I wanted new ones because I needed some pretty ones that werenâ€™t grungy looking. I am 67And being balanced is ver  important to me. I highly recommend these shoes because of the wonderful quality and comfort and I got them on sale! What a deal so I feel like I won the lottery! Also I neglected to mention they are very classy looking. Very well-made and beautiful and striking.,5,https://m.media-amazon.com/images/I/81p1waPWhQL._SX695_.jpg,great quality and comfort shoes,great quality and comfort shoesi was so thrilled when i got my new shoes last week i had bought a pair of a ravon shoes over two years ago at an expensive shoe store and i did not regret spending the money because they were perfect walking shoes and they gave me plenty of support and i have a bunion on my left big toe and i had plenty of room for that foot tmy new ones just like my old pair as far as being comfortable and they keepi got me balanced by the way my original pair that are years old are still good but i am using them to mow grass in because i feel safe walking in them i wanted new ones because i needed some pretty ones that werent grungy looking i am and being balanced is ver important to me i highly recommend these shoes because of the wonderful quality and comfort and i got them on sale what a deal so i feel like i won the lottery also i neglected to mention they are very classy looking very wellmade and beautiful and striking,great quality and comfort shoes great quality and comfort shoesi was so thrilled when i got my new shoes last week i had bought a pair of a ravon shoes over two years ago at an expensive shoe store and i did not regret spending the money because they were perfect walking shoes and they gave me plenty of support and i have a bunion on my left big toe and i had plenty of room for that foot tmy new ones just like my old pair as far as being comfortable and they keepi got me balanced by the way my original pair that are years old are still good but i am using them to mow grass in because i feel safe walking in them i wanted new ones because i needed some pretty ones that werent grungy looking i am and being balanced is ver important to me i highly recommend these shoes because of the wonderful quality and comfort and i got them on sale what a deal so i feel like i won the lottery also i neglected to mention they are very classy looking very wellmade and beautiful and striking
pdct_42487,Reebok,Running,Men,US 11,706,120.0,user_271,NO SUPPORT! NOT FOR RUNNING!,I would NOT recommend these for running. They have zero support and I could feel the rocks in the ground through the shoe. They are also shaped really weird. The sole protrudes out in the back all around the heel and makes your foot appear much larger than it should.,1,https://m.media-amazon.com/images/I/616A3gs-D2L._AC_SY625_.jpg,,i would not recommend these for running they have zero support and i could feel the rocks in the ground through the shoe they are also shaped really weird the sole protrudes out in the back all around the heel and makes your foot appear much larger than it should, i would not recommend these for running they have zero support and i could feel the rocks in the ground through the shoe they are also shaped really weird the sole protrudes out in the back all around the heel and makes your foot appear much larger than it should
pdct_94864,Converse,Casual,Women,US 7.5,146,65.0,user_298,Not as supportive as I had hoped for.,"These shoes are cute online but in person...not so much.The shoe is super light weight and flimsy feeling.  Because of this, it feels as if there is no support/stability.My partial orthotic fit well into the heel of the shoe.The shoe not only has aqua-colored accents (shoe string eyelets) but also has an aqua liner throughout the shoe. As I was slipping my socked foot into the shoe for the first time, that inner liner sort of bunched up and made the shoe top look distorted. As if the liner pushed forward and down causing the upper portion and toe of the shoe to twist upward.  Not a nice look.  At that point I decided that I didn't want to struggle with getting the shoe on each time.  I'm returning them.",1,https://m.media-amazon.com/images/I/619q2GUT7HL._AC_SY625_.jpg,not as supportive as i had hoped for,these shoes are cute online but in personnot so muchthe shoe is super light weight and flimsy feeling because of this it feels as if there is no supportstabilitymy partial orthotic fit well into the heel of the shoethe shoe not only has aquacolored accents shoe string eyelets but also has an aqua liner throughout the shoe as i was slipping my socked foot into the shoe for the first time that inner liner sort of bunched up and made the shoe top look distorted as if the liner pushed forward and down causing the upper portion and toe of the shoe to twist upward not a nice look at that point i decided that i didnt want to struggle with getting the shoe on each time im returning them,not as supportive as i had hoped for these shoes are cute online but in personnot so muchthe shoe is super light weight and flimsy feeling because of this it feels as if there is no supportstabilitymy partial orthotic fit well into the heel of the shoethe shoe not only has aquacolored accents shoe string eyelets but also has an aqua liner throughout the shoe as i was slipping my socked foot into the shoe for the first time that inner liner sort of bunched up and made the shoe top look distorted as if the liner pushed forward and down causing the upper portion and toe of the shoe to twist upward not a nice look at that point i decided that i didnt want to struggle with getting the shoe on each time im returning them
pdct_44974,Puma,Running,Men,US 9.5,"1,060",80.0,user_552,Great pair of shoes!,"Very comfortable! Absolutely love the look and feel of these shoes. They run slightly too big. But, that doesn't take away from the comfort. I'm not sliding around inside them. I'm able to work in them well and workout in them great. Excellent pair of shoes.",4,https://m.media-amazon.com/images/I/61uyKbmXIaL._AC_SY695_.jpg,great pair of shoes,very comfortable absolutely love the look and feel of these shoes they run slightly too big but that doesnt take away from the comfort im not sliding around inside them im able to work in them well and workout in them great excellent pair of shoes,great pair of shoes very comfortable absolutely love the look and feel of these shoes they run slightly too big but that doesnt take away from the comfort im not sliding around inside them im able to work in them well and workout in them great excellent pair of shoes
pdct_91247,Vans,Skate,Women,US 8,"2,076",70.0,user_452,Canâ€™t wear due to Poorly designed insoles,"I like the style and weight of this shoe, just right for wearing all day.  Good quality components.  However, as other reviewers have said, the insole makes wearing these shoes impossible.  The surface of the insoles is some attractive suede fabric which looks like it will be very comfortable.  In fact, the fabric prevents your foot from sliding into the shoe.  I forced my feet in and my toes were uncomfortably turned in on them selves, I could not possibly wear these shoes like that.  I tried stockings and different types of socks with the same difficulty, I just could not push my foot smoothly into the shoe.  Then I tried taking the insole out of another pair of sneakers and putting them in the Aragonâ€™s.  My foot slid right in but when I walked there was no arch support.  Dilemma, should I send them back or go buy 6 or 7 sets of insoles at the drug store to see if any of them will work.  So disappointing.",3,https://m.media-amazon.com/images/I/71Yv+HLvcTL._AC_SX625_.jpg,cant wear due to poorly designed insoles,i like the style and weight of this shoe just right for wearing all day good quality components however as other reviewers have said the insole makes wearing these shoes impossible the surface of the insoles is some attractive suede fabric which looks like it will be very comfortable in fact the fabric prevents your foot from sliding into the shoe i forced my feet in and my toes were uncomfortably turned in on them selves i could not possibly wear these shoes like that i tried stockings and different types of socks with the same difficulty i just could not push my foot smoothly into the shoe then i tried taking the insole out of another pair of sneakers and putting them in the aragons my foot slid right in but when i walked there was no arch support dilemma should i send them back or go buy or sets of insoles at the drug store to see if any of them will work so disappointing,cant wear due to poorly designed insoles i like the style and weight of this shoe just right for wearing all day good quality components however as other reviewers have said the insole makes wearing these shoes impossible the surface of the insoles is some attractive suede fabric which looks like it will be very comfortable in fact the fabric prevents your foot from sliding into the shoe i forced my feet in and my toes were uncomfortably turned in on them selves i could not possibly wear these shoes like that i tried stockings and different types of socks with the same difficulty i just could not push my foot smoothly into the shoe then i tried taking the insole out of another pair of sneakers and putting them in the aragons my foot slid right in but when i walked there was no arch support dilemma should i send them back or go buy or sets of insoles at the drug store to see if any of them will work so disappointing
pdct_62245,New Balance,Lifestyle,Men,US 10,382,90.0,user_599,Tongue rubs ankles raw,"The tongue is long, stiff, and rough. It rubs my ankles raw.",2,https://m.media-amazon.com/images/I/61bgYUJXHPL._AC_SY675_.jpg,tongue rubs ankles raw,the tongue is long stiff and rough it rubs my ankles raw,tongue rubs ankles raw the tongue is long stiff and rough it rubs my ankles raw
pdct_67170,Asics,Running,Women,US 9,216,120.0,user_382,What I was looking for,"I have been trying to find a casual, but not too casual, shoe for work. I wanted an athletic shoe fit in a shoe that doesn't look like an athletic shoe. This is pretty close. It works well with chinos or colored denim. They would not look right with ""dress"" pants, but for business casual, it's good. I'm always between 8 and 8.5. I went with an 8 and they fit perfectly.  I also need good support and these are reasonable. I have another pair of Aravon shoes (mary jane) and they also work well. I think this is good brand.",4,https://example.com/default.png,what i was looking for,i have been trying to find a casual but not too casual shoe for work i wanted an athletic shoe fit in a shoe that doesnt look like an athletic shoe this is pretty close it works well with chinos or colored denim they would not look right with dress pants but for business casual its good im always between and i went with an and they fit perfectly i also need good support and these are reasonable i have another pair of aravon shoes mary jane and they also work well i think this is good brand,what i was looking for i have been trying to find a casual but not too casual shoe for work i wanted an athletic shoe fit in a shoe that doesnt look like an athletic shoe this is pretty close it works well with chinos or colored denim they would not look right with dress pants but for business casual its good im always between and i went with an and they fit perfectly i also need good support and these are reasonable i have another pair of aravon shoes mary jane and they also work well i think this is good brand
pdct_42844,Fila,Fashion,Men,US 8.5,"38,839",75.0,user_403,Not for slippery surfaces/no tread,I thought they were really cute and fit good but after I decided to wear them around for a day I mopped the floor like I Do every day and I almost slipped so the shoes will not be good for me and my lifestyle very slippery pretty much no tread it would be good for walking as long as youâ€™re never honest with Service but I wouldnâ€™t want to take my chances so back to Searching for a new pair of shoes,3,https://example.com/default.png,not for slippery surfacesno tread,i thought they were really cute and fit good but after i decided to wear them around for a day i mopped the floor like i do every day and i almost slipped so the shoes will not be good for me and my lifestyle very slippery pretty much no tread it would be good for walking as long as youre never honest with service but i wouldnt want to take my chances so back to searching for a new pair of shoes,not for slippery surfacesno tread i thought they were really cute and fit good but after i decided to wear them around for a day i mopped the floor like i do every day and i almost slipped so the shoes will not be good for me and my lifestyle very slippery pretty much no tread it would be good for walking as long as youre never honest with service but i wouldnt want to take my chances so back to searching for a new pair of shoes
